,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
46,610.9,4524.5,134.4,339.4,325.6,17.8,0.7,76.6,120.4,0.3,25.0,21.8,11.8,12.6,0.2,6.1,5.0
47,624.7,4475.3,134.0,341.4,320.1,17.3,0.6,75.5,120.2,0.3,25.7,21.0,12.0,13.2,0.2,6.0,4.9
48,594.5,4351.6,132.0,333.4,306.8,16.0,0.6,70.8,118.4,0.3,25.9,21.2,12.2,13.9,0.2,5.9,4.6
49,555.9,4192.6,127.1,325.5,293.2,14.6,0.5,65.1,115.5,0.3,23.2,21.1,11.7,13.2,0.2,5.8,4.5
50,540.8,4170.1,126.2,320.5,292.6,14.4,0.5,64.6,113.8,0.3,22.2,21.1,11.6,13.5,0.2,5.7,4.4
51,528.4,4138.3,124.0,321.5,291.6,14.2,0.5,64.0,112.3,0.3,21.9,19.8,11.4,13.5,0.2,5.7,4.4
52,517.3,4058.2,121.7,315.2,287.7,14.4,0.6,64.0,112.0,0.2,21.0,18.4,11.2,13.2,0.2,5.4,4.2
53,460.4,3722.8,112.1,287.8,260.8,12.6,0.5,55.8,102.1,0.2,18.9,16.5,10.1,11.0,0.2,4.8,3.8
54,431.6,3558.4,108.0,274.0,247.2,11.2,0.5,50.5,98.1,0.2,18.2,15.9,9.5,9.3,0.2,4.5,3.6
55,410.4,3472.5,105.9,273.2,237.0,9.8,0.5,46.0,92.7,0.2,18.4,15.3,9.3,8.1,0.2,4.3,3.5
56,428.0,3615.1,109.3,299.0,249.6,10.1,0.5,48.3,96.3,0.2,19.8,16.4,9.9,8.3,0.2,4.5,3.7
57,446.5,3757.7,112.9,315.2,263.9,10.6,0.5,50.8,96.5,0.2,20.6,16.4,10.3,8.7,0.2,4.7,3.9
